Title,ReleaseYear,Locations,FunFacts,ProductionCompany,Distributor,Director,Writer,Actor1,Actor2,Actor3
180,2011,Epic Roasthouse (399 Embarcadero),null,SPI Cinemas,null,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand
180,2011,Mason & California Streets (Nob Hill),null,SPI Cinemas,null,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand
180,2011,Justin Herman Plaza,null,SPI Cinemas,null,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand
180,2011,200 block Market Street,null,SPI Cinemas,null,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand
180,2011,City Hall,null,SPI Cinemas,null,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand
180,2011,Polk & Larkin Streets,null,SPI Cinemas,null,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand
180,2011,Randall Museum,null,SPI Cinemas,null,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand
180,2011,555 Market St.,null,SPI Cinemas,null,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand
24 Hours on Craigslist,2005,null,null,Yerba Buena Productions,Zealot Pictures,Michael Ferris Gibson,null,Craig Newmark,null,null
Summertime,2015,Alamo Square ,null,"Creative Monster Productions, Inc.",7 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz
Ballers Season 3,2017,San Remo Hotel (2237 Mason),null,"Chori Perros Productions, LLC",HBO,Julian Farino,Stephen Levinson,Dwayne Johnson,John David Washington,Omar Benson Miller
Chance Season 2,2017,Waller St between Masonic and Del Mar St,null,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
Chance Season 2,2017,Palace of Fine Arts (3301 Lyon Street),null,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
A Night Full of Rain,1978,Embarcadero Freeway,"Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)",Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,null
A Night Full of Rain,1978,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,null
A Night Full of Rain,1978,San Francisco Chronicle (901 Mission Street at 15th Street),The San Francisco Zodiac Killer of the late 1960s sent his notes and letters to the Chronicle's offices.,Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,null
A Night Full of Rain,1978,Broadway (North Beach),null,Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,null
Chance Season 2,2017,20th St between Church and Dolores St,null,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
Vegas in Space,1992,Under Highway 101 (near Potrero and Cesar Chavez Streets),null,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest
Vegas in Space,1992,544 Natoma (SOMA),null,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest
Chance Season 2,2017,Haight between Central and Ashbury St,null,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
Summertime,2015,Chinatown (Stockton @ Jackson & Jackson toward Grant,null,"Creative Monster Productions, Inc.",10 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz
Summertime,2015,Broadway and Taylor St Intersection,null,"Creative Monster Productions, Inc.",3 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz
Chance Season 2,2017,Union St at Leavenworth St,null,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
Summertime,2015,Buena Vista East & Duboce; Buena Vista East & Haight,null,"Creative Monster Productions, Inc.",5 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz
Nine Months,1995,Star's Café (55 Golden Gate Avenue at Van Ness),null,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams
Summertime,2015,Love Street Vintage (1506 Haight & adjacent Haight sidewalk_,null,"Creative Monster Productions, Inc.",6 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz
Summertime,2015,Montgomery between California and Pine,null,"Creative Monster Productions, Inc.",11 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz
Vegas in Space,1992,3567 18th Street,null,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest
Chance Season 2,2017,Embarcadero between Bay and Chestnut St,null,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
Vegas in Space,1992,Corona Heights Park,null,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest
Beautiful Boy,2018,Tenderloin Neighborhood,null,Big Indie Pictures,Amazon Studios,Felix van Groeningen,Luke Davies,Steve Carell,Timothee Chalamet,Maura Tierney
Chance Season 2,2017,Haight St at Ashbury St,null,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
Chance Season 2,2017,Filbert St at Stockton St,null,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
Chance Season 2,2017,Heron @ Berwick (off 8th and Harrison St),null,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
Ballers Season 3,2017,Driving around Taylor/Pacific/Leavenworth,null,"Chori Perros Productions, LLC",HBO,Julian Farino,Stephen Levinson,Dwayne Johnson,John David Washington,Omar Benson Miller
Chance Season 2,2017,Leavenworth at McAllister St,null,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
About a Boy,2014,Broderick from Fulton to McAlister,null,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,null
About a Boy,2014,Crissy Field,null,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,null
About a Boy,2014,Powell from Bush and Sutter,null,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,null
Age of Adaline,2015,Pier 50- end of the pier,null,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,null,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn
Age of Adaline,2015,California @ Montgomery,null,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,null,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn
Age of Adaline,2015,Montgomery/Green,null,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,null,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn
Age of Adaline,2015,Driving various SF Streets,null,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,null,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn
Age of Adaline,2015,Plate Shots SF streets various,null,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,null,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn
After the Thin Man,1936,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Frances Goodrich,William Powell,Myrna Loy,James Stewart
